atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
6,2.62,1e+09,1000,1000000,1,0.098678,8.89407e-08,0.000298229,0,0,0,6.58053
6,2.62,1e+09,2000,1000000,1,0.083009,7.61185e-08,0.000275896,0,0,0,10.7281
6,2.62,1e+09,3000,1000000,1,0.076271,7.04537e-08,0.000265431,0,0,0,14.2624
6,2.62,1e+09,4000,1000000,1,0.072138,6.69341e-08,0.000258716,0,0,0,17.4717
6,2.62,1e+09,5000,1000000,1,0.069172,6.43872e-08,0.000253746,0,0,0,20.4841
6,2.62,1e+09,10000,1000000,1,0.062271,5.83933e-08,0.000241647,0,0,0,34.0532
6,2.62,1e+09,15000,1000000,1,0.058938,5.54643e-08,0.000235509,0,0,0,46.3084
6,2.62,1e+09,20000,1000000,1,0.057445,5.41451e-08,0.000232691,0,0,0,57.8424
6,2.62,1e+09,25000,1000000,1,0.056735,5.35161e-08,0.000231336,0,0,0,68.938
6,2.62,1e+09,30000,1000000,1,0.056051,5.29093e-08,0.00023002,0,0,0,79.7536
6,2.62,1e+09,40000,1000000,1,0.055523,5.24402e-08,0.000228998,0,0,0,100.792
6,2.62,1e+09,50000,1000000,1,0.055655,5.25575e-08,0.000229254,0,0,0,121.32
6,2.62,1e+09,60000,1000000,1,0.055789,5.26766e-08,0.000229514,0,0,0,141.5
13,2.7,1e+09,1000,1000000,1,0.224751,1.74238e-07,0.000417418,0,0,0,9.76202
13,2.7,1e+09,2000,1000000,1,0.201644,1.60984e-07,0.000401228,0,0,0,15.555
13,2.7,1e+09,3000,1000000,1,0.188625,1.53046e-07,0.00039121,0,0,0,20.5157
13,2.7,1e+09,4000,1000000,1,0.182353,1.491e-07,0.000386135,0,0,0,24.9608
13,2.7,1e+09,5000,1000000,1,0.177434,1.45951e-07,0.000382036,0,0,0,29.1019
13,2.7,1e+09,10000,1000000,1,0.166794,1.38974e-07,0.000372792,0,0,0,47.3603
13,2.7,1e+09,15000,1000000,1,0.161971,1.35736e-07,0.000368424,0,0,0,63.6887
13,2.7,1e+09,20000,1000000,1,0.159161,1.33829e-07,0.000365826,0,0,0,79.017
13,2.7,1e+09,25000,1000000,1,0.158925,1.33668e-07,0.000365606,0,0,0,93.5887
13,2.7,1e+09,30000,1000000,1,0.158499,1.33377e-07,0.000365208,0,0,0,107.782
13,2.7,1e+09,40000,1000000,1,0.158331,1.33262e-07,0.000365051,0,0,0,135.17
13,2.7,1e+09,50000,1000000,1,0.159095,1.33784e-07,0.000365765,0,0,0,161.715
13,2.7,1e+09,60000,1000000,1,0.159977,1.34384e-07,0.000366585,0,0,0,187.72
14,2.33,1e+09,1000,1000000,1,0.240572,1.82697e-07,0.000427431,0,0,0,10.1489
14,2.33,1e+09,2000,1000000,1,0.215876,1.69274e-07,0.000411429,0,0,0,16.1392
14,2.33,1e+09,3000,1000000,1,0.204202,1.62504e-07,0.000403117,0,0,0,21.3265
14,2.33,1e+09,4000,1000000,1,0.196685,1.58e-07,0.000397492,0,0,0,25.8171
14,2.33,1e+09,5000,1000000,1,0.19164,1.54914e-07,0.000393591,0,0,0,30.0865
14,2.33,1e+09,10000,1000000,1,0.179694,1.47404e-07,0.000383932,0,0,0,48.8805
14,2.33,1e+09,15000,1000000,1,0.17585,1.44927e-07,0.000380692,0,0,0,65.8227
14,2.33,1e+09,20000,1000000,1,0.173434,1.43355e-07,0.000378622,0,0,0,81.2773
14,2.33,1e+09,25000,1000000,1,0.172052,1.4245e-07,0.000377426,0,0,0,96.2912
14,2.33,1e+09,30000,1000000,1,0.170884,1.41683e-07,0.000376408,0,0,0,110.856
14,2.33,1e+09,40000,1000000,1,0.171663,1.42195e-07,0.000377087,0,0,0,138.86
14,2.33,1e+09,50000,1000000,1,0.171987,1.42407e-07,0.000377369,0,0,0,166.119
14,2.33,1e+09,60000,1000000,1,0.173991,1.43718e-07,0.000379102,0,0,0,192.651
26,7.86,1e+09,1000,1000000,1,0.386203,2.3705e-07,0.000486878,0,0,0,14.0485
26,7.86,1e+09,2000,1000000,1,0.355771,2.29198e-07,0.000478746,0,0,0,21.8634
26,7.86,1e+09,3000,1000000,1,0.340667,2.24613e-07,0.000473934,0,0,0,28.3985
26,7.86,1e+09,4000,1000000,1,0.33129,2.21537e-07,0.000470677,0,0,0,34.2449
26,7.86,1e+09,5000,1000000,1,0.326648,2.19949e-07,0.000468987,0,0,0,39.5792
26,7.86,1e+09,10000,1000000,1,0.31059,2.14124e-07,0.000462735,0,0,0,63.0108
26,7.86,1e+09,15000,1000000,1,0.303771,2.11494e-07,0.000459885,0,0,0,83.5625
26,7.86,1e+09,20000,1000000,1,0.300128,2.10051e-07,0.000458313,0,0,0,102.638
26,7.86,1e+09,25000,1000000,1,0.299922,2.09969e-07,0.000458224,0,0,0,120.518
26,7.86,1e+09,30000,1000000,1,0.298504,2.09399e-07,0.000457602,0,0,0,138.301
26,7.86,1e+09,40000,1000000,1,0.298815,2.09525e-07,0.000457739,0,0,0,171.429
26,7.86,1e+09,50000,1000000,1,0.300456,2.10182e-07,0.000458456,0,0,0,203.545
26,7.86,1e+09,60000,1000000,1,0.301017,2.10406e-07,0.0004587,0,0,0,235.137
29,8.96,1e+09,1000,1000000,1,0.41463,2.42712e-07,0.000492658,0,0,0,14.8397
29,8.96,1e+09,2000,1000000,1,0.381792,2.36027e-07,0.000485826,0,0,0,23.0652
29,8.96,1e+09,3000,1000000,1,0.366419,2.32156e-07,0.000481826,0,0,0,29.8679
29,8.96,1e+09,4000,1000000,1,0.356905,2.29524e-07,0.000479086,0,0,0,35.9596
29,8.96,1e+09,5000,1000000,1,0.350928,2.27778e-07,0.00047726,0,0,0,41.5756
29,8.96,1e+09,10000,1000000,1,0.33558,2.22966e-07,0.000472193,0,0,0,65.8074
29,8.96,1e+09,15000,1000000,1,0.329279,2.20854e-07,0.000469951,0,0,0,86.9733
29,8.96,1e+09,20000,1000000,1,0.325966,2.19712e-07,0.000468735,0,0,0,106.566
29,8.96,1e+09,25000,1000000,1,0.323818,2.1896e-07,0.000467932,0,0,0,125.244
29,8.96,1e+09,30000,1000000,1,0.323465,2.18835e-07,0.000467798,0,0,0,143.134
29,8.96,1e+09,40000,1000000,1,0.324031,2.19035e-07,0.000468012,0,0,0,177.44
29,8.96,1e+09,50000,1000000,1,0.323713,2.18923e-07,0.000467892,0,0,0,210.703
29,8.96,1e+09,60000,1000000,1,0.326525,2.19906e-07,0.000468942,0,0,0,243.059
47,10.5,1e+09,1000,1000000,1,0.531496,2.49008e-07,0.000499007,0,0,0,18.997
47,10.5,1e+09,2000,1000000,1,0.497806,2.49995e-07,0.000499995,0,0,0,29.075
47,10.5,1e+09,3000,1000000,1,0.481325,2.49651e-07,0.000499651,0,0,0,37.2309
47,10.5,1e+09,4000,1000000,1,0.470578,2.49134e-07,0.000499134,0,0,0,44.4939
47,10.5,1e+09,5000,1000000,1,0.463489,2.48667e-07,0.000498665,0,0,0,51.1402
47,10.5,1e+09,10000,1000000,1,0.445837,2.47066e-07,0.000497058,0,0,0,79.5115
47,10.5,1e+09,15000,1000000,1,0.439038,2.46284e-07,0.00049627,0,0,0,103.703
47,10.5,1e+09,20000,1000000,1,0.434168,2.45666e-07,0.000495647,0,0,0,126.155
47,10.5,1e+09,25000,1000000,1,0.432227,2.45407e-07,0.000495386,0,0,0,147.234
47,10.5,1e+09,30000,1000000,1,0.430599,2.45184e-07,0.00049516,0,0,0,167.569
47,10.5,1e+09,40000,1000000,1,0.430476,2.45166e-07,0.000495143,0,0,0,205.814
47,10.5,1e+09,50000,1000000,1,0.431293,2.45279e-07,0.000495257,0,0,0,242.41
47,10.5,1e+09,60000,1000000,1,0.43293,2.45502e-07,0.000495481,0,0,0,277.795
79,19.3,1e+09,1000,1000000,1,0.648267,2.28017e-07,0.000477511,0,0,0,24.3646
79,19.3,1e+09,2000,1000000,1,0.615996,2.36545e-07,0.000486359,0,0,0,36.9189
79,19.3,1e+09,3000,1000000,1,0.598507,2.40296e-07,0.0004902,0,0,0,46.968
79,19.3,1e+09,4000,1000000,1,0.587076,2.42418e-07,0.000492359,0,0,0,55.7092
79,19.3,1e+09,5000,1000000,1,0.57863,2.43817e-07,0.000493779,0,0,0,63.6797
79,19.3,1e+09,10000,1000000,1,0.558861,2.46535e-07,0.000496523,0,0,0,97.004
79,19.3,1e+09,15000,1000000,1,0.550376,2.47462e-07,0.000497456,0,0,0,125.013
79,19.3,1e+09,20000,1000000,1,0.545418,2.47937e-07,0.000497933,0,0,0,150.448
79,19.3,1e+09,25000,1000000,1,0.543609,2.48098e-07,0.000498095,0,0,0,173.853
79,19.3,1e+09,30000,1000000,1,0.541336,2.48291e-07,0.000498288,0,0,0,196.602
79,19.3,1e+09,40000,1000000,1,0.539688,2.48425e-07,0.000498422,0,0,0,239.605
79,19.3,1e+09,50000,1000000,1,0.540566,2.48354e-07,0.000498352,0,0,0,279.683
79,19.3,1e+09,60000,1000000,1,0.541146,2.48307e-07,0.000498304,0,0,0,318.713
